score,state,gender,age,patrimony,balance,products,credit_card,active,approved_credit
619,RS,Feminino,42,2,0,1,1,1,1
608,SC,Feminino,41,1,8380786,1,0,1,0
502,RS,Feminino,42,8,1596608,3,1,0,1
699,RS,Feminino,39,1,0,2,0,0,0
850,SC,Feminino,43,2,12551082,1,1,1,0
645,SC,Masculino,44,8,11375578,2,1,0,1
822,RS,M,50,7,0,2,1,1,0
376,PR,Feminino,29,4,11504674,4,1,0,1
501,RS,Masculino,44,4,14205107,2,0,1,0
684,RS,Masculino,27,2,13460388,1,1,1,0
528,RS,Masculino,31,6,10201672,2,0,0,0
497,SC,Masculino,24,3,0,2,1,0,0
476,RS,Feminino,34,10,0,2,1,0,0
549,RS,Feminino,25,5,0,2,0,0,0
635,SC,Feminino,35,7,0,2,1,1,0
616,PR,M,45,3,14312941,2,0,1,0
653,PR,Masculino,58,1,13260288,1,1,0,1
549,SC,Feminino,24,9,0,2,1,1,0
587,SC,Masculino,45,6,0,1,0,0,0
726,RS,Feminino,24,6,0,2,1,1,0
732,RS,M,41,8,0,2,1,1,0
636,SC,Feminino,32,8,0,2,1,0,0
510,RP,Feminino,38,4,0,1,1,0,1
669,RS,Masculino,46,3,0,2,0,1,0
846,RS,Feminino,38,5,0,1,1,1,0
577,RS,Masculino,25,3,0,2,0,1,0
756,PR,Masculino,36,2,13681564,1,1,1,0
571,RS,Masculino,44,9,0,2,0,0,0
574,SP,Feminino,43,3,14134943,1,1,1,0
411,RS,Masculino,29,0,5969717,2,1,1,0
591,SC,Feminino,39,3,0,3,1,0,1
533,RS,Masculino,36,7,853117,1,0,1,0
553,SP,Masculino,41,9,11011254,2,0,0,0
520,SC,Feminino,42,6,0,2,1,1,0
722,SC,Feminino,29,9,0,2,1,1,0
475,RS,Feminino,45,0,13426404,1,1,0,1
490,SC,Masculino,31,3,14526023,1,0,1,0
804,SC,Masculino,33,7,765486,1,0,1,0
850,RS,Masculino,36,7,0,1,1,1,0
582,PR,Masculino,41,6,7034948,2,0,1,0
472,SC,Masculino,40,4,0,1,1,0,0
465,RS,Feminino,51,8,12252232,1,0,0,1
556,RS,Feminino,61,2,11741935,1,1,1,0
834,RS,Feminino,49,2,13139456,1,0,0,1
660,SC,Feminino,61,5,15593111,1,1,1,0
776,PR,Feminino,32,4,10942113,2,1,1,0
829,PR,Feminino,27,9,11204567,1,1,1,1
637,PR,Feminino,39,9,1378438,1,1,1,1
550,PR,Masculino,38,2,10339138,1,0,1,0
776,PR,Feminino,37,2,10376922,2,1,0,0
698,PR,Masculino,44,10,11636337,2,1,0,0
585,PR,Masculino,36,5,14605097,2,0,0,0
788,RS,Feminino,33,5,0,2,0,0,0
655,PR,Masculino,41,8,12556197,1,0,0,1
601,PR,Masculino,42,1,9849572,1,1,0,1
619,SP,Masculino,43,1,12521192,1,1,1,0
656,RS,Masculino,45,5,1278644,1,1,0,0
725,PR,Masculino,19,0,758882,1,0,0,0
511,SC,Feminino,66,4,0,1,1,0,1
614,RS,Masculino,51,4,4068592,1,1,1,0
742,PR,Masculino,35,5,136857,1,0,0,0
687,PR,Feminino,27,9,15232888,2,0,0,0
555,SC,Masculino,33,1,5608469,2,0,0,0
684,SC,Masculino,56,8,7870716,1,1,1,0
603,PR,,26,4,10916637,1,1,1,0
751,PR,Feminino,36,6,16983146,2,1,1,0
581,PR,Feminino,34,1,10163304,1,1,0,0
735,PR,Masculino,43,10,12318001,2,1,1,0
661,PR,Feminino,35,5,15072553,2,0,1,0
675,RS,Feminino,21,8,9837326,1,1,0,0
738,PR,Masculino,58,2,13374544,4,1,0,1
813,RS,Masculino,29,6,0,1,1,0,0
657,SC,Feminino,37,0,16360718,1,0,1,0
604,PR,Feminino,25,5,15778084,2,1,1,0
519,RS,Masculino,36,9,0,2,0,1,0
735,SP,Feminino,21,1,17871819,2,1,0,0
664,RS,Masculino,55,8,0,2,1,1,0
678,RS,Feminino,32,9,0,1,1,1,0
757,SC,Masculino,33,5,7725322,1,0,1,0
416,PR,Feminino,41,10,12218966,2,1,0,0
665,RS,Feminino,34,1,9664554,2,0,0,0
665,RS,Feminino,34,1,9664554,2,0,0,0
543,RS,Feminino,36,3,0,2,0,0,0
506,RS,Feminino,34,4,9030762,1,1,1,0
493,RS,,46,4,0,2,1,0,0
652,SC,Feminino,75,10,0,2,1,1,0
750,SC,Masculino,22,3,12168182,1,1,0,1
729,RS,Masculino,30,9,0,2,1,0,0
646,RS,Feminino,46,4,0,3,1,0,1
635,PR,Feminino,28,3,8162367,2,1,1,0
647,SC,Feminino,44,5,0,3,1,1,1
808,RS,Masculino,45,7,11862655,2,1,0,0
524,RS,Feminino,36,10,0,2,1,0,0
769,TD,Masculino,29,8,0,2,1,1,0
730,SC,Masculino,42,4,0,2,0,1,0
515,SC,Masculino,35,10,17627395,1,0,1,0
